,Title,Artist,ConstituentID,Date,Medium,CreditLine,AccessionNumber,DateAcquired,ObjectID,ApproxDate,YearAcquired
88823,Stacking Glasses,Saara Hopea,2724,1951,Blown glass,Gift of Barbro Kulvik and Antti Siltavuori,450.1983.2,1983-05-17,105847,1951.0,1983
88824,Stacking Glasses,Saara Hopea,2724,1951,Blown glass,Gift of Barbro Kulvik and Antti Siltavuori,450.1983.3,1983-05-17,105848,1951.0,1983
88825,Stacking Glasses,Saara Hopea,2724,1951,Blown glass,Gift of Barbro Kulvik and Antti Siltavuori,450.1983.4,1983-05-17,105849,1951.0,1983
110264,Puppy,Eero Aarnio,36,2005,Polyethylene,Gift of the manufacturer,131.2013.1-2,2013-02-11,161383,2005.0,2013
123077,Snake,Taneli Armanto,134524,1997,Video game software,Anonymous gift,1081.2015,2015-10-19,196072,1997.0,2015
132689,Untitled,Eliel Saarinen,64766,n.d.,Pencil on paper,"Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit",2130.2018,2018-11-05,289373,,2018
135261,Tracing\Piece 1,Caroline Slotte,131528,2015,Reworked plastic,Gift of Lise Stolt-Nielsen and the Committee on Architecture and Design Funds,168.2019,2019-11-04,396735,2015.0,2019
135262,Tracing\Piece 2,Caroline Slotte,131528,2015,Reworked ceramic,Gift of Lise Stolt-Nielsen and the Committee on Architecture and Design Funds,169.2019,2019-11-04,396736,2015.0,2019
135263,Damaged Goods\Piece 1,Caroline Slotte,131528,2009,Reworked ceramic,Gift of Lise Stolt-Nielsen and the Architecture & Design Purchase Fund,166.2019,2019-11-04,396737,2009.0,2019
135264,Damaged Goods\Piece 2,Caroline Slotte,131528,2012,Reworked plastic,Gift of Lise Stolt-Nielsen and the Committee on Architecture and Design Funds,167.2019,2019-11-04,396738,2012.0,2019
135265,Under Blue Skies,Caroline Slotte,131528,2015,Reworked ceramic,Gift of Lise Stolt-Nielsen and the Committee on Architecture and Design Funds,170.2019,2019-11-04,396739,2015.0,2019
